review_title,review_content,review_lem,polarite,content_length,rating
Interlocuteurs à l’écoute et aidant du…,Interlocuteurs à l’écoute et aidant du début à la fin de la commande. La livraison a posé problème mais du fait du transporteur (livraison hors IDF) donc « cchezvous » avait sous traité la prestation de livraison.,"['interlocuteur', 'écout', 'aider', 'interlocuteur', 'écout', 'aider', 'début', 'fin', 'command', 'livraison', 'poser', 'problèm', 'faire', 'transporteur', 'livraison', 'hors', 'idf', 'donc', 'cchezvous', 'sou', 'traité', 'prestation', 'livraison']",0.5,213,0
Vraiment très bonne expérience,"Vraiment très bonne expérience. Le site est très bien fait et bien détaillé. Parfait jusqu'à la livraison. Le lit, sommier et matelas sont de bonne qualité.","['vraiment', 'bon', 'expérience', 'vraiment', 'bon', 'expérience', 'bien', 'faire', 'bien', 'détaillé', 'parfaire', 'jusqu', 'livraison', 'lit', 'sommier', 'matelas', 'bon', 'qualité']",0.7214285714285714,156,0
De la commande à la réception,"De la commande à la réception, rien a redire. Facile et rapide.","['command', 'réception', 'command', 'réception', 'rien', 'redir', 'facile', 'rapide']",0.655,63,0
Livraison dans les délais et produits…,Livraison dans les délais et produits conformes à mes attentes je recommande,"['livraison', 'délai', 'produire', 'livraison', 'délai', 'produire', 'conforme', 'attente', 'recommander']",0.575,76,0
Fauteuil très confortable.,"Très heureuse de mon achat, le fauteuil est beau,  tissus agréable . J'aime le design.J'ai des problèmes de dos et suis bien droite. Assise très agréable.Livraison très rapide, 2-3 jours après la commande.Je recommande.","['fauteuil', 'confortable', 'heureux', 'achat', 'fauteuil', 'beau', 'tissu', 'agréable', 'aime', 'design', 'problème', 'do', 'bien', 'droite', 'asseoir', 'agréable', 'livraison', 'rapide', 'jour', 'après', 'command', 'recommander']",0.709,219,0
la livraison était très rapide et le…,la livraison était très rapide et le produit est conforme à celui en boutique !,"['livraison', 'rapide', 'livraison', 'rapide', 'conforme', 'celui', 'boutiqu']",0.70625,79,0
Très bon rapport qualité / prix,Site sur Internet bien fait pour les recherches.Offres économiques compétitivesService de livraison avec plage horaire précise et respectée.,"['bon', 'rapport', 'qualité', 'prix', 'internet', 'bien', 'faire', 'recherche', 'offre', 'économique', 'compétitivesservic', 'livraison', 'plage', 'horaire', 'préciser', 'respecter']",0.5833333333333333,140,0
Très bon produits,Très bon produits. Suivi de cde et livraison,"['bon', 'produit', 'bon', 'produit', 'suivre', 'cde', 'livraison']",1.0,44,0
très satisfaite pour la seconde fois,"très satisfaite pour la seconde fois 2 matelas,  un 140 la première fois et tellement bon que quelques mois après j'ai repris un 160 pour mon aîné","['satisfaire', 'second', 'fois', 'satisfaire', 'second', 'fois', 'matelas', 'premier', 'fois', 'tellement', 'bon', 'quelque', 'mois', 'après', 'repris']",0.645,146,0
Cde canapé,De la cde à la livraison rien à redire. Cde facile à passer. Détails et heures de livraisons respectés. Livreurs au top.,"['cde', 'canaper', 'cde', 'livraison', 'rien', 'redir', 'cde', 'facile', 'passer', 'détail', 'heure', 'livraison', 'respecter', 'livreur', 'top']",0.635,120,0
POSITIF,LIVRAISON ET PRODUIT CONFORME,"['positif', 'livraison', 'conforme']",0.55,29,0
Le produit est très bon,Le produit est très bonLa livraison effectuée dans les délais proposés,"['bon', 'bonla', 'livraison', 'effectuer', 'délai', 'proposer']",0.505,70,0
Elegant,Large choix de produits de qualité et élégants.Livraison longue,"['eleger', 'large', 'choix', 'produire', 'qualité', 'élégant', 'livraison', 'long']",0.525,63,0
Livraison reçue comme prévue,Livraison à domicile. Les livreurs ont attendu que j’ouvre les colis. La marchandise était bien emballée et conforme. Meubles facile à monter ! Je recommande !,"['livraison', 'comme', 'prévoir', 'livraison', 'domicil', 'livreur', 'attendre', 'ouvrir', 'colis', 'marchandise', 'bien', 'emballée', 'conforme', 'facile', 'monter', 'recommander']",0.5859375,159,0
Super boutique et produits de qualité à très bon prix,"Je ne connaissais pas Sklum et suis tombé dessus par hasard en cherchant du mobilier style scandinave pendant le blackfriday et je dois dire que je suis pleinement satisfait. Je compte bien faire d'autres achats prochainement sur ce site que je recommande. Pourquoi ? Car les produits sont de qualité avec un très bon rapport qualité/prix, rien à redire sur la qualité de l'emballage et sur la réception des colis.Je n'ai pas d'avis à donner sur le SAV car je n'en ai pas eu l'utilité (et j'espère ne pas en avoir besoin).","['super', 'boutique', 'produire', 'qualité', 'bon', 'prix', 'connaissai', 'tomber', 'dessus', 'hasard', 'chercher', 'mobilier', 'style', 'scandinave', 'pendant', 'blackfriday', 'devoir', 'dire', 'pleinement', 'satisfait', 'compte', 'bien', 'faire', 'autre', 'achat', 'prochainement', 'recommand', 'pourquoi', 'car', 'produire', 'qualité', 'bon', 'rapport', 'qualité', 'prix', 'rien', 'redir', 'qualité', 'emballage', 'réception', 'colis', 'avis', 'donner', 'sav', 'car', 'utilité', 'espérer', 'avoir', 'besoin']",0.628125,522,0
Très bien,"Très bien, un petit soucis au niveau de la peinture d'une barre et un délai de livraison plutôt long mais j'aime beaucoup les produits proposés.","['bien', 'bien', 'petit', 'souci', 'niveau', 'peintur', 'barr', 'déler', 'livraison', 'plut', 'long', 'aimer', 'beaucoup', 'produit', 'proposer']",0.5399999999999999,144,0
Chaises superbes,Joli tissu et rapport qualité prix très intéressant. Chaises conformes à la photo. Faciles à monter.Mention spéciale pour la société de livraison et le livreur; cela change de certaine société de livraison,"['superbe', 'joli', 'tissu', 'rapport', 'qualité', 'prix', 'intéressant', 'conforme', 'photo', 'facile', 'monter', 'mention', 'spécial', 'société', 'livraison', 'livreur', 'celer', 'change', 'certain', 'sociéter', 'livraison']",0.6950000000000001,205,0
super produits tres design de bonne…,super produits tres design de bonne qualité,"['super', 'produit', 'tre', 'design', 'bon', 'super', 'produit', 'tre', 'design', 'bon', 'qualité']",0.7262500000000001,43,0
Pouf conforme à la description,"Pouf conforme à la description, très qualitatif, joli tissu, et livré dans les délais annoncés.J'ai déjà acheté d'autres meubles et je suis toujours satisfaite.","['pouf', 'conforme', 'description', 'pouf', 'conforme', 'description', 'qualitatif', 'joli', 'tissu', 'livrer', 'délai', 'annoncer', 'déj', 'acheté', 'autre', 'toujours', 'satisfaire']",0.588,160,0
